GEOID,Drive15_EVSE
36047049900,361
36047050001,69
36047050002,67
36047050100,277
36047050202,87
36047050300,264
36047050401,77
36047050402,79
36047050500,134
36047050600,77
36047050700,159
36047050801,108
36047050803,102
36047050804,115
36047050900,206
36047051001,71
36047051002,26
36047051100,199
36047051200,31
36047051300,122
36047051400,62
36047051500,289
36047051601,21
36047051602,33
36047051700,238
36047051800,21
36047051900,248
36047052000,34
36047052300,209
36047052500,213
36047052600,54
36047052700,188
36047052800,9
36047052900,181
36047053000,9
36047053101,276
36047053102,182
36047053200,8
36047053300,201
36047053400,8
36047053500,265
36047053700,331
36047053800,4
36047053900,395
36047054200,4
36047054300,153
36047054400,4
36047054500,257
36047054600,26
36047054700,211
36047054800,26
36047054900,240
36047055000,30
36047055100,161
36047055200,26
36047055300,222
36047055400,26
36047055500,136
36047055600,26
36047055700,201
36047055800,26
36047056000,32
36047056100,221
36047056200,31
36047056301,201
36047056302,187
36047056400,25
36047056500,257
36047056600,25
36047056800,31
36047056900,198
36047057000,37
36047057100,372
36047057200,35
36047057300,312
36047057400,25
36047057500,343
36047057600,25
36047057800,36
36047057901,277
36047057902,266
36047058000,36
36047058200,36
36047058400,68
36047058600,58
36047058800,68
36047058901,307
36047058902,222
36047059000,68
36047059100,333
36047059200,37
36047059300,424
36047059402,35
36047059403,35
36047059404,37
36047059600,35
36047059800,76
36047060000,68
36047060600,68
36047060800,67
36047061002,33
36047061003,67
36047061004,35
36047061200,57
36047061600,33
36047062000,33
36047062200,71
36047062600,37
36047062800,35
36047063200,35
36047063600,25
36047063800,30
36047064000,26
36047064200,4
36047064400,25
36047064600,25
36047064800,3
36047065000,4
36047065200,25
36047065400,19
36047065600,25
36047065800,25
36047066000,33
36047066200,37
36047066600,25
36047067000,47
36047067200,25
36047067400,11
36047067600,19
36047067800,19
36047068000,31
36047068200,25
36047068600,3
36047068800,25
36047069000,29
36047069200,3
36047069601,7
36047069602,7
36047069800,29
36047070000,3
36047070201,1
36047070202,9
36047070203,32
36047070601,3
36047070602,3
36047072000,23
36047072200,18
36047072400,38
36047072600,19
36047072800,19
36047073000,19
36047073200,19
36047073400,19
36047073600,19
36047073800,12
36047074000,15
36047074200,4
36047074400,3
36047074600,4
36047074800,4
36047075000,5
36047075200,6
36047075400,4
36047075600,4
36047075800,4
36047076000,6
36047076200,6
36047076400,15
36047076600,21
36047076800,4
36047077000,19
36047077200,13
36047077400,15
36047077600,19
36047078000,19
36047078200,19
36047078400,19
36047078601,21
36047078602,21
36047078801,21
36047078802,19
36047079001,21
36047079002,23
36047079201,25
36047079202,37
36047079400,31
36047079601,104
36047079602,81
36047079801,88
36047079802,71
36047080000,69
36047080200,98
36047080400,75
36047080600,84
36047080800,51
36047081000,65
36047081400,53
36047081600,54
36047081800,48
36047082000,67
36047082200,96
36047082400,49
36047082600,23
36047082800,23
36047083000,21
36047083200,19
36047083400,19
36047083600,39
36047083800,39
36047084000,41
36047084600,38
36047084800,40
36047085000,40
36047085200,38
36047085400,41
36047085600,41
36047085800,44
36047086000,42
36047086200,42
36047086400,40
36047086600,42
36047086800,40
36047087000,42
36047087200,44
36047087401,63
36047087600,47
36047087800,47
36047088001,47
36047088002,49
36047088200,47
36047088400,40
36047088600,36
36047088800,44
36047089000,42
36047089200,51
36047089400,40
36047089600,44
36047089800,38
36047090000,47
36047090200,53
36047090600,61
36047090800,86
36047091000,29
36047091200,40
36047091600,42
36047091800,42
36047092000,42
36047092200,44
36047092400,47
36047092800,42
36047093000,44
36047093200,38
36047093400,40
36047093600,38
36047093800,40
36047094401,18
36047094402,14
36047094600,38
36047095000,22
36047095400,22
36047095600,18
36047095800,22
36047096000,42
36047096200,22
36047096400,21
36047096600,17
36047096800,23
36047097000,23
36047097400,8
36047098200,8
36047098400,11
36047098600,11
36047098800,27
36047099000,28
36047099200,20
36047099400,9
36047099600,11
36047099800,11
36047100400,11
36047100600,11
36047100800,42
36047101000,36
36047101200,34
36047101400,34
36047101600,11
36047101800,28
36047102000,34
36047102200,36
36047102400,12
36047102600,34
36047102801,36
36047102802,1
36047103401,32
36047103402,4
36047105801,8
36047105804,8
36047107001,8
36047107002,0
36047107003,14
36047107800,14
36047109800,40
36047110400,9
36047110600,31
36047111000,9
36047111600,10
36047111800,29
36047112000,9
36047112200,29
36047112400,38
36047112600,78
36047112800,29
36047113000,37
36047113200,51
36047113400,31
36047114201,130
36047114202,111
36047114400,111
36047114600,104
36047115000,45
36047115200,81
36047115600,80
36047115800,79
36047116000,73
36047116200,30
36047116400,29
36047116600,74
36047116800,77
36047117000,81
36047117201,103
36047117202,99
36047117400,43
36047117601,99
36047117602,55
36047117800,75
36047118000,77
36047118201,97
36047118202,19
36047118400,55
36047118600,73
36047118800,42
36047119000,41
36047119200,42
36047119400,30
36047119600,51
36047119800,111
36047120000,7
36047120200,54
36047120801,11
36047120802,5
36047120803,41
36047121000,9
36047121400,11
36047122000,11
36047123700,266
36047150200,74
36047152200,42
36047990100,6
36061000100,0
36061000201,397
36061000202,163
36061000500,0
36061000600,275
36061000700,197
36061000800,206
36061000900,134
36061001001,179
36061001002,167
36061001200,181
36061001300,175
36061001401,342
36061001402,386
36061001501,404
36061001502,197
36061001600,155
36061001800,194
36061002000,167
36061002100,172
36061002201,370
36061002202,375
36061002400,382
36061002500,125
36061002601,345
36061002602,360
36061002700,413
36061002800,211
36061002901,202
36061002902,272
36061003001,203
36061003002,257
36061003100,171
36061003200,232
36061003300,116
36061003400,342
36061003601,154
36061003602,165
36061003700,63
36061003800,220
36061003900,112
36061004001,211
36061004002,248
36061004100,110
36061004200,224
36061004300,136
36061004400,213
36061004500,123
36061004700,120
36061004800,231
36061004900,120
36061005000,269
36061005200,90
36061005400,84
36061005501,116
36061005502,142
36061005600,269
36061005700,148
36061005800,125
36061005900,127
36061006000,313
36061006100,129
36061006200,399
36061006300,95
36061006400,394
36061006500,74
36061006600,401
36061006700,59
36061006800,377
36061006900,94
36061007001,411
36061007002,402
36061007100,94
36061007200,418
36061007300,69
36061007400,403
36061007500,75
36061007600,238
36061007700,79
36061007800,513
36061007900,93
36061008000,441
36061008100,85
36061008200,392
36061008300,101
36061008400,269
36061008601,450
36061008602,402
36061008603,366
36061008700,122
36061008800,379
36061008900,125
36061009000,441
36061009100,171
36061009200,414
36061009300,130
36061009400,403
36061009500,190
36061009600,358
36061009700,99
36061009800,343
36061009901,143
36061009902,135
36061009903,154
36061010000,400
36061010100,142
36061010200,385
36061010300,119
36061010400,289
36061010601,352
36061010602,327
36061010801,411
36061010802,408
36061010803,416
36061010900,259
36061011000,384
36061011100,161
36061011201,380
36061011202,386
36061011203,367
36061011300,269
36061011401,388
36061011402,364
36061011500,127
36061011600,351
36061011700,145
36061011800,391
36061011900,0
36061012000,406
36061012101,143
36061012102,157
36061012200,378
36061012400,394
36061012500,220
36061012601,387
36061012602,340
36061012700,191
36061012800,390
36061012901,144
36061012902,189
36061013000,325
36061013100,253
36061013201,348
36061013202,303
36061013203,342
36061013300,210
36061013400,345
36061013501,195
36061013502,286
36061013601,344
36061013602,352
36061013603,361
36061013604,370
36061013700,334
36061013800,374
36061013900,268
36061014000,373
36061014200,289
36061014300,161
36061014401,364
36061014402,444
36061014500,193
36061014601,368
36061014602,376
36061014700,174
36061014801,313
36061014802,327
36061014900,217
36061015001,297
36061015002,281
36061015101,163
36061015102,185
36061015200,405
36061015301,231
36061015302,216
36061015401,376
36061015402,473
36061015403,387
36061015501,173
36061015502,260
36061015601,351
36061015602,443
36061015700,211
36061015801,383
36061015802,355
36061015900,272
36061016001,290
36061016002,311
36061016100,245
36061016200,306
36061016300,191
36061016400,433
36061016500,230
36061016600,361
36061016700,302
36061016800,353
36061016900,238
36061017000,413
36061017100,206
36061017200,405
36061017300,244
36061017401,333
36061017402,275
36061017500,256
36061017700,222
36061017800,439
36061017900,263
36061018000,448
36061018100,271
36061018200,347
36061018300,322
36061018400,388
36061018500,288
36061018600,291
36061018700,247
36061018800,385
36061018900,254
36061019000,278
36061019100,128
36061019200,344
36061019300,219
36061019400,440
36061019500,94
36061019600,395
36061019701,136
36061019702,207
36061019800,421
36061019900,82
36061020000,317
36061020101,143
36061020102,240
36061020300,120
36061020500,82
36061020600,458
36061020701,152
36061020800,331
36061020901,185
36061021000,342
36061021100,177
36061021200,311
36061021303,171
36061021400,366
36061021500,258
36061021600,242
36061021703,144
36061021800,283
36061021900,163
36061022000,275
36061022102,273
36061022200,165
36061022301,163
36061022302,152
36061022400,291
36061022500,143
36061022600,275
36061022700,202
36061022800,315
36061022900,206
36061023000,363
36061023100,266
36061023200,360
36061023300,160
36061023400,282
36061023501,314
36061023502,345
36061023600,143
36061023700,292
36061023802,19
36061023803,100
36061023804,62
36061023900,297
36061024000,190
36061024100,301
36061024200,414
36061024301,272
36061024302,283
36061024500,194
36061024700,125
36061024900,289
36061025100,206
36061025300,252
36061025500,128
36061025700,185
36061025900,303
36061026100,324
36061026300,318
36061026500,260
36061026700,93
36061026900,275
36061027100,225
36061027300,165
36061027500,113
36061027700,108
36061027900,97
36061028100,141
36061028300,171
36061028500,186
36061028700,190
36061029100,200
36061029300,201
36061029500,166
36061029700,39
36061029900,285
36061030300,102
36061030700,107
36061030900,117
36061031100,354
36061031703,71
36061031704,264
36061031900,170
36081000101,276
36081000102,172
36081000103,302
36081000104,275
36081000200,102
36081000400,62
36081000600,55
36081000701,326
36081000702,255
36081000800,55
36081001000,49
36081001200,111
36081001400,73
36081001600,47
36081001800,52
36081001901,209
36081001902,234
36081001903,233
36081002000,70
36081002200,104
36081002400,112
36081002500,220
36081002600,111
36081002800,74
36081003000,67
36081003100,275
36081003200,63
36081003301,187
36081003302,204
36081003400,47
36081003600,46
36081003700,151
36081003800,56
36081003900,156
36081004001,60
36081004002,49
36081004200,48
36081004300,261
36081004401,42
36081004500,192
36081004700,253
36081005000,5
36081005100,205
36081005200,46
36081005300,215
36081005400,42
36081005500,210
36081005700,286
36081005800,8
36081005900,262
36081006100,255
36081006201,62
36081006202,50
36081006300,241
36081006501,365
36081006502,377
36081006900,345
36081007100,238
36081007300,289
36081007500,204
36081007700,216
36081007900,214
36081008100,182
36081008300,218
36081008500,214
36081008600,48
36081008700,138
36081008800,8
36081009100,223
36081009400,49
36081009500,319
36081009600,47
36081009700,219
36081009800,66
36081009900,114
36081010000,56
36081010100,174
36081010200,59
36081010300,168
36081010400,59
36081010500,146
36081010600,58
36081010701,148
36081010800,79
36081011000,60
36081011100,181
36081011200,47
